[Threads] Utilisation de 10 thread(s) sur 12 disponibles
[Reprise] Mode force active : les combinaisons deja presentes seront recalculees
=== DATASET: kinships | rank:50 | lambda_A:5.0 | lambda_R:5.0 ===
[Config] maxIter:100 | conv:1.0e-04 | threads:10
[Data]   nnz:10790 | import_time:0.02 s
INFO : RESCAL : [  0] fit: 0.32385 | delta: 3.2e-01 | secs: 0.09071
INFO : RESCAL : [  1] fit: 0.34515 | delta: 2.1e-02 | secs: 0.09202
INFO : RESCAL : [  2] fit: 0.34315 | delta: 2.0e-03 | secs: 0.08939
INFO : RESCAL : [  3] fit: 0.34235 | delta: 8.0e-04 | secs: 0.09034
INFO : RESCAL : [  4] fit: 0.34260 | delta: 2.5e-04 | secs: 0.09202
INFO : RESCAL : [  5] fit: 0.34306 | delta: 4.6e-04 | secs: 0.09875
INFO : RESCAL : [  6] fit: 0.34336 | delta: 3.0e-04 | secs: 0.09962
INFO : RESCAL : [  7] fit: 0.34356 | delta: 2.0e-04 | secs: 0.10145
INFO : RESCAL : [  8] fit: 0.34375 | delta: 1.9e-04 | secs: 0.10018
INFO : RESCAL : [  9] fit: 0.34393 | delta: 1.8e-04 | secs: 0.09401
INFO : RESCAL : [ 10] fit: 0.34409 | delta: 1.6e-04 | secs: 0.09532
INFO : RESCAL : [ 11] fit: 0.34423 | delta: 1.4e-04 | secs: 0.09659
INFO : RESCAL : [ 12] fit: 0.34435 | delta: 1.2e-04 | secs: 0.09528
INFO : RESCAL : [ 13] fit: 0.34444 | delta: 9.4e-05 | secs: 0.09514
[Fold 0] AUC-PR: 0.920876
INFO : RESCAL : [  0] fit: 0.31652 | delta: 3.2e-01 | secs: 0.09743
INFO : RESCAL : [  1] fit: 0.34369 | delta: 2.7e-02 | secs: 0.09378
INFO : RESCAL : [  2] fit: 0.34220 | delta: 1.5e-03 | secs: 0.08938
INFO : RESCAL : [  3] fit: 0.34203 | delta: 1.7e-04 | secs: 0.08839
INFO : RESCAL : [  4] fit: 0.34239 | delta: 3.6e-04 | secs: 0.09399
INFO : RESCAL : [  5] fit: 0.34278 | delta: 3.9e-04 | secs: 0.09564
INFO : RESCAL : [  6] fit: 0.34316 | delta: 3.8e-04 | secs: 0.09793
INFO : RESCAL : [  7] fit: 0.34349 | delta: 3.3e-04 | secs: 0.09243
INFO : RESCAL : [  8] fit: 0.34375 | delta: 2.6e-04 | secs: 0.09284
INFO : RESCAL : [  9] fit: 0.34397 | delta: 2.1e-04 | secs: 0.08972
INFO : RESCAL : [ 10] fit: 0.34414 | delta: 1.7e-04 | secs: 0.09094
INFO : RESCAL : [ 11] fit: 0.34428 | delta: 1.4e-04 | secs: 0.09003
INFO : RESCAL : [ 12] fit: 0.34439 | delta: 1.1e-04 | secs: 0.09410
INFO : RESCAL : [ 13] fit: 0.34448 | delta: 9.2e-05 | secs: 0.09047
[Fold 1] AUC-PR: 0.915403
INFO : RESCAL : [  0] fit: 0.32478 | delta: 3.2e-01 | secs: 0.09195
INFO : RESCAL : [  1] fit: 0.34697 | delta: 2.2e-02 | secs: 0.09177
INFO : RESCAL : [  2] fit: 0.34509 | delta: 1.9e-03 | secs: 0.08901
INFO : RESCAL : [  3] fit: 0.34471 | delta: 3.8e-04 | secs: 0.09337
INFO : RESCAL : [  4] fit: 0.34519 | delta: 4.8e-04 | secs: 0.09103
INFO : RESCAL : [  5] fit: 0.34571 | delta: 5.2e-04 | secs: 0.09339
INFO : RESCAL : [  6] fit: 0.34610 | delta: 3.9e-04 | secs: 0.09910
INFO : RESCAL : [  7] fit: 0.34643 | delta: 3.3e-04 | secs: 0.09105
INFO : RESCAL : [  8] fit: 0.34674 | delta: 3.1e-04 | secs: 0.10147
INFO : RESCAL : [  9] fit: 0.34703 | delta: 3.0e-04 | secs: 0.09187
INFO : RESCAL : [ 10] fit: 0.34729 | delta: 2.6e-04 | secs: 0.09174
INFO : RESCAL : [ 11] fit: 0.34748 | delta: 1.9e-04 | secs: 0.09750
INFO : RESCAL : [ 12] fit: 0.34761 | delta: 1.3e-04 | secs: 0.10093
INFO : RESCAL : [ 13] fit: 0.34771 | delta: 1.0e-04 | secs: 0.10357
INFO : RESCAL : [ 14] fit: 0.34779 | delta: 8.0e-05 | secs: 0.09036
[Fold 2] AUC-PR: 0.911539
INFO : RESCAL : [  0] fit: 0.32231 | delta: 3.2e-01 | secs: 0.10210
INFO : RESCAL : [  1] fit: 0.34140 | delta: 1.9e-02 | secs: 0.10081
INFO : RESCAL : [  2] fit: 0.33868 | delta: 2.7e-03 | secs: 0.09791
INFO : RESCAL : [  3] fit: 0.33818 | delta: 5.0e-04 | secs: 0.10051
INFO : RESCAL : [  4] fit: 0.33848 | delta: 3.0e-04 | secs: 0.10290
INFO : RESCAL : [  5] fit: 0.33897 | delta: 4.9e-04 | secs: 0.09795
INFO : RESCAL : [  6] fit: 0.33943 | delta: 4.5e-04 | secs: 0.09320
INFO : RESCAL : [  7] fit: 0.33977 | delta: 3.4e-04 | secs: 0.09186
INFO : RESCAL : [  8] fit: 0.34003 | delta: 2.6e-04 | secs: 0.09319
INFO : RESCAL : [  9] fit: 0.34024 | delta: 2.2e-04 | secs: 0.10176
INFO : RESCAL : [ 10] fit: 0.34043 | delta: 1.9e-04 | secs: 0.10362
INFO : RESCAL : [ 11] fit: 0.34059 | delta: 1.6e-04 | secs: 0.10651
INFO : RESCAL : [ 12] fit: 0.34072 | delta: 1.3e-04 | secs: 0.09753
INFO : RESCAL : [ 13] fit: 0.34082 | delta: 1.0e-04 | secs: 0.09678
[Fold 3] AUC-PR: 0.928086
INFO : RESCAL : [  0] fit: 0.32081 | delta: 3.2e-01 | secs: 0.09323
INFO : RESCAL : [  1] fit: 0.34450 | delta: 2.4e-02 | secs: 0.09110
INFO : RESCAL : [  2] fit: 0.34237 | delta: 2.1e-03 | secs: 0.09192
INFO : RESCAL : [  3] fit: 0.34252 | delta: 1.5e-04 | secs: 0.09133
INFO : RESCAL : [  4] fit: 0.34303 | delta: 5.1e-04 | secs: 0.08960
INFO : RESCAL : [  5] fit: 0.34359 | delta: 5.6e-04 | secs: 0.09039
INFO : RESCAL : [  6] fit: 0.34412 | delta: 5.3e-04 | secs: 0.09174
INFO : RESCAL : [  7] fit: 0.34447 | delta: 3.5e-04 | secs: 0.09103
INFO : RESCAL : [  8] fit: 0.34470 | delta: 2.3e-04 | secs: 0.09064
INFO : RESCAL : [  9] fit: 0.34488 | delta: 1.8e-04 | secs: 0.09567
INFO : RESCAL : [ 10] fit: 0.34503 | delta: 1.5e-04 | secs: 0.09247
INFO : RESCAL : [ 11] fit: 0.34516 | delta: 1.3e-04 | secs: 0.09970
INFO : RESCAL : [ 12] fit: 0.34527 | delta: 1.1e-04 | secs: 0.09228
INFO : RESCAL : [ 13] fit: 0.34537 | delta: 9.6e-05 | secs: 0.09217
[Fold 4] AUC-PR: 0.923844
INFO : RESCAL : [  0] fit: 0.32178 | delta: 3.2e-01 | secs: 0.09323
INFO : RESCAL : [  1] fit: 0.34519 | delta: 2.3e-02 | secs: 0.09002
INFO : RESCAL : [  2] fit: 0.34279 | delta: 2.4e-03 | secs: 0.09289
INFO : RESCAL : [  3] fit: 0.34183 | delta: 9.6e-04 | secs: 0.09213
INFO : RESCAL : [  4] fit: 0.34182 | delta: 1.3e-05 | secs: 0.09157
[Fold 5] AUC-PR: 0.902871
INFO : RESCAL : [  0] fit: 0.31517 | delta: 3.2e-01 | secs: 0.09136
INFO : RESCAL : [  1] fit: 0.34463 | delta: 2.9e-02 | secs: 0.09434
INFO : RESCAL : [  2] fit: 0.34331 | delta: 1.3e-03 | secs: 0.09143
INFO : RESCAL : [  3] fit: 0.34248 | delta: 8.3e-04 | secs: 0.09151
INFO : RESCAL : [  4] fit: 0.34267 | delta: 1.9e-04 | secs: 0.09059
INFO : RESCAL : [  5] fit: 0.34320 | delta: 5.3e-04 | secs: 0.09237
INFO : RESCAL : [  6] fit: 0.34365 | delta: 4.4e-04 | secs: 0.09187
INFO : RESCAL : [  7] fit: 0.34397 | delta: 3.2e-04 | secs: 0.09177
INFO : RESCAL : [  8] fit: 0.34422 | delta: 2.5e-04 | secs: 0.09099
INFO : RESCAL : [  9] fit: 0.34442 | delta: 2.0e-04 | secs: 0.09081
INFO : RESCAL : [ 10] fit: 0.34459 | delta: 1.7e-04 | secs: 0.09024
INFO : RESCAL : [ 11] fit: 0.34473 | delta: 1.4e-04 | secs: 0.09332
INFO : RESCAL : [ 12] fit: 0.34484 | delta: 1.1e-04 | secs: 0.09466
INFO : RESCAL : [ 13] fit: 0.34494 | delta: 9.4e-05 | secs: 0.10352
[Fold 6] AUC-PR: 0.929541
INFO : RESCAL : [  0] fit: 0.31847 | delta: 3.2e-01 | secs: 0.10373
INFO : RESCAL : [  1] fit: 0.34464 | delta: 2.6e-02 | secs: 0.10109
INFO : RESCAL : [  2] fit: 0.34307 | delta: 1.6e-03 | secs: 0.09893
INFO : RESCAL : [  3] fit: 0.34294 | delta: 1.3e-04 | secs: 0.10037
INFO : RESCAL : [  4] fit: 0.34321 | delta: 2.6e-04 | secs: 0.10224
INFO : RESCAL : [  5] fit: 0.34355 | delta: 3.4e-04 | secs: 0.10099
INFO : RESCAL : [  6] fit: 0.34387 | delta: 3.2e-04 | secs: 0.10031
INFO : RESCAL : [  7] fit: 0.34416 | delta: 2.9e-04 | secs: 0.10043
INFO : RESCAL : [  8] fit: 0.34440 | delta: 2.4e-04 | secs: 0.10152
INFO : RESCAL : [  9] fit: 0.34461 | delta: 2.1e-04 | secs: 0.10043
INFO : RESCAL : [ 10] fit: 0.34479 | delta: 1.8e-04 | secs: 0.09745
INFO : RESCAL : [ 11] fit: 0.34494 | delta: 1.5e-04 | secs: 0.09492
INFO : RESCAL : [ 12] fit: 0.34507 | delta: 1.3e-04 | secs: 0.09282
INFO : RESCAL : [ 13] fit: 0.34518 | delta: 1.1e-04 | secs: 0.09076
INFO : RESCAL : [ 14] fit: 0.34528 | delta: 9.9e-05 | secs: 0.09330
[Fold 7] AUC-PR: 0.929938
INFO : RESCAL : [  0] fit: 0.31613 | delta: 3.2e-01 | secs: 0.09530
INFO : RESCAL : [  1] fit: 0.34325 | delta: 2.7e-02 | secs: 0.10394
INFO : RESCAL : [  2] fit: 0.34217 | delta: 1.1e-03 | secs: 0.09996
INFO : RESCAL : [  3] fit: 0.34202 | delta: 1.4e-04 | secs: 0.10371
INFO : RESCAL : [  4] fit: 0.34218 | delta: 1.6e-04 | secs: 0.10142
INFO : RESCAL : [  5] fit: 0.34250 | delta: 3.2e-04 | secs: 0.10183
INFO : RESCAL : [  6] fit: 0.34285 | delta: 3.6e-04 | secs: 0.09969
INFO : RESCAL : [  7] fit: 0.34318 | delta: 3.3e-04 | secs: 0.10014
INFO : RESCAL : [  8] fit: 0.34347 | delta: 2.9e-04 | secs: 0.10140
INFO : RESCAL : [  9] fit: 0.34373 | delta: 2.6e-04 | secs: 0.10795
INFO : RESCAL : [ 10] fit: 0.34396 | delta: 2.3e-04 | secs: 0.10078
INFO : RESCAL : [ 11] fit: 0.34417 | delta: 2.0e-04 | secs: 0.09440
INFO : RESCAL : [ 12] fit: 0.34433 | delta: 1.6e-04 | secs: 0.10157
INFO : RESCAL : [ 13] fit: 0.34445 | delta: 1.2e-04 | secs: 0.10388
INFO : RESCAL : [ 14] fit: 0.34455 | delta: 9.5e-05 | secs: 0.09213
[Fold 8] AUC-PR: 0.937601
INFO : RESCAL : [  0] fit: 0.32309 | delta: 3.2e-01 | secs: 0.09494
INFO : RESCAL : [  1] fit: 0.34321 | delta: 2.0e-02 | secs: 0.09687
INFO : RESCAL : [  2] fit: 0.34133 | delta: 1.9e-03 | secs: 0.08964
INFO : RESCAL : [  3] fit: 0.34084 | delta: 4.9e-04 | secs: 0.09601
INFO : RESCAL : [  4] fit: 0.34108 | delta: 2.4e-04 | secs: 0.11847
INFO : RESCAL : [  5] fit: 0.34165 | delta: 5.7e-04 | secs: 0.09517
INFO : RESCAL : [  6] fit: 0.34212 | delta: 4.7e-04 | secs: 0.09305
INFO : RESCAL : [  7] fit: 0.34242 | delta: 3.0e-04 | secs: 0.09220
INFO : RESCAL : [  8] fit: 0.34261 | delta: 1.9e-04 | secs: 0.09443
INFO : RESCAL : [  9] fit: 0.34275 | delta: 1.4e-04 | secs: 0.09411
INFO : RESCAL : [ 10] fit: 0.34287 | delta: 1.2e-04 | secs: 0.09209
INFO : RESCAL : [ 11] fit: 0.34298 | delta: 1.1e-04 | secs: 0.09526
INFO : RESCAL : [ 12] fit: 0.34308 | delta: 9.9e-05 | secs: 0.09979
[Fold 9] AUC-PR: 0.917141
[Result] AUC-PR mean:0.921684 | std:0.009729 | time:11.57 s
[CSV]    Ligne écrite dans rescal_results.csv
=== FIN: kinships rank:50 ===
=== DATASET: kinships | rank:90 | lambda_A:5.0 | lambda_R:5.0 ===
[Config] maxIter:100 | conv:1.0e-04 | threads:10
[Data]   nnz:10790 | import_time:0.02 s
INFO : RESCAL : [  0] fit: 0.36373 | delta: 3.6e-01 | secs: 0.13498
INFO : RESCAL : [  1] fit: 0.35633 | delta: 7.4e-03 | secs: 0.13615
INFO : RESCAL : [  2] fit: 0.35022 | delta: 6.1e-03 | secs: 0.13400
INFO : RESCAL : [  3] fit: 0.34764 | delta: 2.6e-03 | secs: 0.13221
INFO : RESCAL : [  4] fit: 0.34659 | delta: 1.1e-03 | secs: 0.13167
INFO : RESCAL : [  5] fit: 0.34615 | delta: 4.4e-04 | secs: 0.13134
INFO : RESCAL : [  6] fit: 0.34596 | delta: 1.9e-04 | secs: 0.13281
INFO : RESCAL : [  7] fit: 0.34587 | delta: 9.0e-05 | secs: 0.13232
[Fold 0] AUC-PR: 0.928624
INFO : RESCAL : [  0] fit: 0.36638 | delta: 3.7e-01 | secs: 0.13644
INFO : RESCAL : [  1] fit: 0.35832 | delta: 8.1e-03 | secs: 0.12917
INFO : RESCAL : [  2] fit: 0.35214 | delta: 6.2e-03 | secs: 0.12952
INFO : RESCAL : [  3] fit: 0.34954 | delta: 2.6e-03 | secs: 0.13157
INFO : RESCAL : [  4] fit: 0.34847 | delta: 1.1e-03 | secs: 0.13369
INFO : RESCAL : [  5] fit: 0.34801 | delta: 4.6e-04 | secs: 0.13213
INFO : RESCAL : [  6] fit: 0.34781 | delta: 2.0e-04 | secs: 0.13115
INFO : RESCAL : [  7] fit: 0.34771 | delta: 9.8e-05 | secs: 0.12941
[Fold 1] AUC-PR: 0.921401
INFO : RESCAL : [  0] fit: 0.36283 | delta: 3.6e-01 | secs: 0.13455
INFO : RESCAL : [  1] fit: 0.35562 | delta: 7.2e-03 | secs: 0.13313
INFO : RESCAL : [  2] fit: 0.34921 | delta: 6.4e-03 | secs: 0.13591
INFO : RESCAL : [  3] fit: 0.34656 | delta: 2.6e-03 | secs: 0.13267
INFO : RESCAL : [  4] fit: 0.34549 | delta: 1.1e-03 | secs: 0.13447
INFO : RESCAL : [  5] fit: 0.34504 | delta: 4.5e-04 | secs: 0.13465
INFO : RESCAL : [  6] fit: 0.34484 | delta: 2.0e-04 | secs: 0.13556
