[Threads] Utilisation de 20 thread(s) sur 64 disponibles
[Reprise] Mode force active : les combinaisons deja presentes seront recalculees
=== DATASET: fb15k237 | rank:200 | lambda_A:0.1 | lambda_R:0.1 ===
[Config] maxIter:20 | conv:1.0e-06 | threads:20
[Data]   n_entities:14541 | n_relations:237 | total_nnz:310116
[Data]   nnz:310116 | import_time:0.04 s
[Eval]   positifs:2000 | neg/pos:1 | folds:10 | mode:cross-validation CSR echantillonnee
INFO : RESCAL : [  0] fit: 0.28647 | delta: 2.9e-01 | secs: 19.13124
INFO : RESCAL : [  1] fit: 0.40173 | delta: 1.2e-01 | secs: 19.27797
INFO : RESCAL : [  2] fit: 0.41493 | delta: 1.3e-02 | secs: 19.07485
INFO : RESCAL : [  3] fit: 0.42000 | delta: 5.1e-03 | secs: 18.87241
INFO : RESCAL : [  4] fit: 0.42257 | delta: 2.6e-03 | secs: 19.11643
INFO : RESCAL : [  5] fit: 0.42405 | delta: 1.5e-03 | secs: 19.21494
INFO : RESCAL : [  6] fit: 0.42485 | delta: 8.0e-04 | secs: 19.24765
INFO : RESCAL : [  7] fit: 0.42539 | delta: 5.4e-04 | secs: 19.16076
INFO : RESCAL : [  8] fit: 0.42582 | delta: 4.4e-04 | secs: 19.31443
INFO : RESCAL : [  9] fit: 0.42622 | delta: 4.0e-04 | secs: 19.15705
INFO : RESCAL : [ 10] fit: 0.42659 | delta: 3.7e-04 | secs: 19.59000
INFO : RESCAL : [ 11] fit: 0.42691 | delta: 3.2e-04 | secs: 19.36979
INFO : RESCAL : [ 12] fit: 0.42718 | delta: 2.7e-04 | secs: 19.35728
INFO : RESCAL : [ 13] fit: 0.42741 | delta: 2.3e-04 | secs: 19.02299
INFO : RESCAL : [ 14] fit: 0.42760 | delta: 2.0e-04 | secs: 19.26373
INFO : RESCAL : [ 15] fit: 0.42778 | delta: 1.7e-04 | secs: 19.10413
INFO : RESCAL : [ 16] fit: 0.42793 | delta: 1.5e-04 | secs: 19.41515
INFO : RESCAL : [ 17] fit: 0.42807 | delta: 1.4e-04 | secs: 19.03624
INFO : RESCAL : [ 18] fit: 0.42819 | delta: 1.2e-04 | secs: 19.42751
INFO : RESCAL : [ 19] fit: 0.42831 | delta: 1.1e-04 | secs: 19.31153
[Fold 0] AUC-PR: 0.978027
INFO : RESCAL : [  0] fit: 0.29309 | delta: 2.9e-01 | secs: 19.30013
INFO : RESCAL : [  1] fit: 0.40490 | delta: 1.1e-01 | secs: 18.99481
INFO : RESCAL : [  2] fit: 0.41780 | delta: 1.3e-02 | secs: 19.16329
INFO : RESCAL : [  3] fit: 0.42261 | delta: 4.8e-03 | secs: 21.62237
INFO : RESCAL : [  4] fit: 0.42505 | delta: 2.4e-03 | secs: 21.60726
INFO : RESCAL : [  5] fit: 0.42643 | delta: 1.4e-03 | secs: 18.89317
INFO : RESCAL : [  6] fit: 0.42726 | delta: 8.3e-04 | secs: 18.74536
INFO : RESCAL : [  7] fit: 0.42784 | delta: 5.8e-04 | secs: 19.08382
INFO : RESCAL : [  8] fit: 0.42831 | delta: 4.6e-04 | secs: 18.32101
INFO : RESCAL : [  9] fit: 0.42868 | delta: 3.8e-04 | secs: 19.55529
INFO : RESCAL : [ 10] fit: 0.42901 | delta: 3.3e-04 | secs: 18.64857
INFO : RESCAL : [ 11] fit: 0.42929 | delta: 2.8e-04 | secs: 19.33822
INFO : RESCAL : [ 12] fit: 0.42954 | delta: 2.5e-04 | secs: 18.91456
INFO : RESCAL : [ 13] fit: 0.42975 | delta: 2.1e-04 | secs: 19.45461
INFO : RESCAL : [ 14] fit: 0.42994 | delta: 1.9e-04 | secs: 19.22108
INFO : RESCAL : [ 15] fit: 0.43010 | delta: 1.6e-04 | secs: 19.22279
INFO : RESCAL : [ 16] fit: 0.43024 | delta: 1.4e-04 | secs: 19.08299
INFO : RESCAL : [ 17] fit: 0.43036 | delta: 1.2e-04 | secs: 19.58113
INFO : RESCAL : [ 18] fit: 0.43047 | delta: 1.1e-04 | secs: 18.85711
INFO : RESCAL : [ 19] fit: 0.43057 | delta: 9.4e-05 | secs: 19.23916
[Fold 1] AUC-PR: 0.977495
INFO : RESCAL : [  0] fit: 0.28996 | delta: 2.9e-01 | secs: 19.68801
INFO : RESCAL : [  1] fit: 0.40086 | delta: 1.1e-01 | secs: 18.68481
INFO : RESCAL : [  2] fit: 0.41317 | delta: 1.2e-02 | secs: 19.26268
INFO : RESCAL : [  3] fit: 0.41768 | delta: 4.5e-03 | secs: 21.14302
INFO : RESCAL : [  4] fit: 0.41984 | delta: 2.2e-03 | secs: 19.08373
INFO : RESCAL : [  5] fit: 0.42112 | delta: 1.3e-03 | secs: 19.21032
INFO : RESCAL : [  6] fit: 0.42203 | delta: 9.1e-04 | secs: 18.80856
INFO : RESCAL : [  7] fit: 0.42274 | delta: 7.1e-04 | secs: 19.11146
INFO : RESCAL : [  8] fit: 0.42329 | delta: 5.5e-04 | secs: 18.96444
INFO : RESCAL : [  9] fit: 0.42372 | delta: 4.3e-04 | secs: 19.46679
INFO : RESCAL : [ 10] fit: 0.42403 | delta: 3.2e-04 | secs: 19.02600
INFO : RESCAL : [ 11] fit: 0.42427 | delta: 2.4e-04 | secs: 19.03749
INFO : RESCAL : [ 12] fit: 0.42447 | delta: 1.9e-04 | secs: 18.68550
INFO : RESCAL : [ 13] fit: 0.42463 | delta: 1.6e-04 | secs: 18.76083
INFO : RESCAL : [ 14] fit: 0.42477 | delta: 1.4e-04 | secs: 18.83930
INFO : RESCAL : [ 15] fit: 0.42489 | delta: 1.3e-04 | secs: 19.42286
INFO : RESCAL : [ 16] fit: 0.42501 | delta: 1.1e-04 | secs: 19.30786
INFO : RESCAL : [ 17] fit: 0.42511 | delta: 1.0e-04 | secs: 19.63902
INFO : RESCAL : [ 18] fit: 0.42520 | delta: 9.5e-05 | secs: 18.99492
INFO : RESCAL : [ 19] fit: 0.42529 | delta: 8.8e-05 | secs: 18.99303
[Fold 2] AUC-PR: 0.984795
INFO : RESCAL : [  0] fit: 0.29151 | delta: 2.9e-01 | secs: 19.44631
INFO : RESCAL : [  1] fit: 0.40147 | delta: 1.1e-01 | secs: 18.52878
INFO : RESCAL : [  2] fit: 0.41437 | delta: 1.3e-02 | secs: 19.07232
INFO : RESCAL : [  3] fit: 0.41916 | delta: 4.8e-03 | secs: 21.20574
INFO : RESCAL : [  4] fit: 0.42156 | delta: 2.4e-03 | secs: 18.89696
INFO : RESCAL : [  5] fit: 0.42289 | delta: 1.3e-03 | secs: 18.56636
INFO : RESCAL : [  6] fit: 0.42375 | delta: 8.6e-04 | secs: 19.17925
INFO : RESCAL : [  7] fit: 0.42439 | delta: 6.4e-04 | secs: 18.38418
INFO : RESCAL : [  8] fit: 0.42488 | delta: 4.9e-04 | secs: 19.54663
INFO : RESCAL : [  9] fit: 0.42528 | delta: 4.0e-04 | secs: 18.67682
INFO : RESCAL : [ 10] fit: 0.42560 | delta: 3.3e-04 | secs: 18.91023
INFO : RESCAL : [ 11] fit: 0.42587 | delta: 2.7e-04 | secs: 18.50278
INFO : RESCAL : [ 12] fit: 0.42610 | delta: 2.3e-04 | secs: 19.10328
INFO : RESCAL : [ 13] fit: 0.42629 | delta: 1.9e-04 | secs: 18.56325
INFO : RESCAL : [ 14] fit: 0.42645 | delta: 1.6e-04 | secs: 19.04657
INFO : RESCAL : [ 15] fit: 0.42658 | delta: 1.3e-04 | secs: 18.90802
INFO : RESCAL : [ 16] fit: 0.42668 | delta: 1.1e-04 | secs: 18.90994
INFO : RESCAL : [ 17] fit: 0.42677 | delta: 8.6e-05 | secs: 18.39672
INFO : RESCAL : [ 18] fit: 0.42684 | delta: 7.0e-05 | secs: 19.23987
INFO : RESCAL : [ 19] fit: 0.42690 | delta: 5.8e-05 | secs: 19.00344
[Fold 3] AUC-PR: 0.981004
INFO : RESCAL : [  0] fit: 0.29110 | delta: 2.9e-01 | secs: 19.35962
INFO : RESCAL : [  1] fit: 0.40337 | delta: 1.1e-01 | secs: 18.74651
INFO : RESCAL : [  2] fit: 0.41595 | delta: 1.3e-02 | secs: 18.77604
INFO : RESCAL : [  3] fit: 0.42085 | delta: 4.9e-03 | secs: 19.35407
INFO : RESCAL : [  4] fit: 0.42333 | delta: 2.5e-03 | secs: 18.93008
INFO : RESCAL : [  5] fit: 0.42487 | delta: 1.5e-03 | secs: 19.23654
INFO : RESCAL : [  6] fit: 0.42589 | delta: 1.0e-03 | secs: 18.08077
INFO : RESCAL : [  7] fit: 0.42660 | delta: 7.1e-04 | secs: 18.57453
INFO : RESCAL : [  8] fit: 0.42710 | delta: 5.0e-04 | secs: 21.61644
INFO : RESCAL : [  9] fit: 0.42749 | delta: 3.8e-04 | secs: 18.53868
INFO : RESCAL : [ 10] fit: 0.42777 | delta: 2.8e-04 | secs: 18.90273
INFO : RESCAL : [ 11] fit: 0.42798 | delta: 2.1e-04 | secs: 18.67393
INFO : RESCAL : [ 12] fit: 0.42817 | delta: 1.9e-04 | secs: 19.11134
INFO : RESCAL : [ 13] fit: 0.42834 | delta: 1.8e-04 | secs: 18.87089
INFO : RESCAL : [ 14] fit: 0.42850 | delta: 1.6e-04 | secs: 18.65000
INFO : RESCAL : [ 15] fit: 0.42865 | delta: 1.5e-04 | secs: 19.05543
