dataset;rank;maxIter;conv;lambda_A;lambda_R;nnz;import_time_s;auc_pr_mean;auc_pr_std;total_time_s;threads
kinships;50;100;0.000100;5.000000;5.000000;10790;0.077011;0.916152;0.006394;3.251139;12
kinships;90;100;0.000100;5.000000;5.000000;10790;0.077124;0.926776;0.009931;5.049368;12
kinships;100;100;0.000100;10.000000;10.000000;10790;0.071455;0.660341;0.013648;4.212442;12
umls;50;100;0.000100;5.000000;5.000000;5216;0.142821;0.330474;0.010705;4.502130;12
umls;90;100;0.000100;5.000000;5.000000;5216;0.084918;0.333319;0.025329;7.574297;12
umls;100;100;0.000100;10.000000;10.000000;5216;0.085705;0.089995;0.026602;10.904303;12
nations;50;100;0.000100;5.000000;5.000000;1592;0.029805;0.444866;0.040425;0.384116;12
nations;90;100;0.000100;5.000000;5.000000;1592;0.001363;0.446581;0.033252;2.808947;12
nations;100;100;0.000100;10.000000;10.000000;1592;0.003712;0.343357;0.036269;5.520122;12
kinships;50;100;0.000100;5.000000;5.000000;10790;0.022057;0.919703;0.007426;4.393549;4
kinships;90;100;0.000100;5.000000;5.000000;10790;0.019699;0.925209;0.006788;3.913623;4
kinships;100;100;0.000100;10.000000;10.000000;10790;0.018815;0.662834;0.018157;3.227844;4
umls;50;100;0.000100;5.000000;5.000000;5216;0.054410;0.332679;0.026916;4.368444;4
umls;90;100;0.000100;5.000000;5.000000;5216;0.052870;0.334871;0.025922;7.081274;4
umls;100;100;0.000100;10.000000;10.000000;5216;0.055260;0.121555;0.031040;5.806833;4
nations;50;100;0.000100;5.000000;5.000000;1592;0.001096;0.446099;0.030129;3.577034;4
nations;90;100;0.000100;5.000000;5.000000;1592;0.001102;0.447741;0.028817;3.925886;4
nations;100;100;0.000100;10.000000;10.000000;1592;0.001445;0.345979;0.023508;5.961794;4
kinships;50;100;0.000100;5.000000;5.000000;10790;0.019535;0.916256;0.006492;4.929476;6
kinships;90;100;0.000100;5.000000;5.000000;10790;0.019105;0.926394;0.006868;5.150547;6
kinships;100;100;0.000100;10.000000;10.000000;10790;0.018334;0.662279;0.007686;4.339949;6
umls;50;100;0.000100;5.000000;5.000000;5216;0.054734;0.330467;0.026084;6.003840;6
umls;90;100;0.000100;5.000000;5.000000;5216;0.055738;0.334952;0.016570;9.551182;6
umls;100;100;0.000100;10.000000;10.000000;5216;0.053873;0.095329;0.029328;11.954516;6
nations;50;100;0.000100;5.000000;5.000000;1592;0.001148;0.446242;0.047475;6.330802;6
nations;90;100;0.000100;5.000000;5.000000;1592;0.001572;0.450226;0.027597;6.056984;6
